#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	1750433	64629462	48.304	0.832462	35.1	35.7
chr11	1	135086622	1811054	64988183	48.1085	0.852749	35.1	35.9
chr12	1	133275309	1775933	65477093	49.1292	0.848448	35.1	35.8
chr13	1	114364328	976826	39868806	34.8612	0.543285	35	35.9
chr14	1	107043718	1120179	41653430	38.9125	0.665615	35.1	35.9
chr15	1	101991189	1123021	40627898	39.8347	0.701876	35.1	35.7
chr16	1	90338345	1287664	42049672	46.5469	0.90939	35.1	35.3
chr17	1	83257441	1463239	46380232	55.707	1.11909	35.1	35.6
chr18	1	80373285	826102	33009952	41.0708	0.654484	35.1	35.9
chr19	1	58617616	1165125	34572503	58.9797	1.26376	35.1	35.5
chr1	1	248956422	3305223	116180543	46.667	0.84586	35.1	35.7
chr20	1	64444167	958889	33585440	52.1156	0.945933	35.1	35.8
chr21	1	46709983	432450	15772497	33.7669	0.590957	35.1	35.3
chr22	1	50818468	676724	21395553	42.1019	0.848247	35.1	35.5
chr2	1	242193529	2977635	112662863	46.5177	0.782478	35.1	35.8
chr3	1	198295559	2400410	92083441	46.4375	0.770663	35.1	35.8
chr4	1	190214555	1920460	78522693	41.2811	0.642517	35	35.7
chr5	1	181538259	2054640	79563866	43.8276	0.720648	35.1	35.8
chr6	1	170805979	2034596	78523813	45.9725	0.757903	35.1	35.8
chr7	1	159345973	1905776	72288625	45.3658	0.762094	35.1	35.6
chr8	1	145138636	1695255	65588000	45.1899	0.743039	35.1	35.9
chr9	1	138394717	1548986	55968471	40.4412	0.713185	35.1	35.7
chrX	1	156040895	749767	36859551	23.6217	0.306563	35	35.5
chrY	1	57227415	83382	3555600	6.21311	0.092226	35.1	31.7
