#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	2008758	98531895	73.6426	1.49621	33.5	36.4
chr11	1	135086622	1963882	98025796	72.5651	1.44915	33.5	36.5
chr12	1	133275309	1931655	97123189	72.8741	1.44435	33.5	36.6
chr13	1	114364328	1402289	71014176	62.0947	1.22266	33.5	36.6
chr14	1	107043718	1336262	66119282	61.7685	1.24432	33.5	36.5
chr15	1	101991189	1243446	59996570	58.8252	1.21506	33.5	36.4
chr16	1	90338345	1300895	59635659	66.0137	1.43464	33.5	36.1
chr17	1	83257441	1290599	60527651	72.6994	1.54321	33.5	36.3
chr18	1	80373285	1134469	56303845	70.0529	1.40743	33.5	36.5
chr19	1	58617616	1005949	44776265	76.387	1.70753	33.5	36.5
chr1	1	248956422	3260584	163833415	65.8081	1.30485	33.5	36.4
chr20	1	64444167	1022919	47807856	74.1849	1.58142	33.5	36.4
chr21	1	46709983	629146	27050717	57.9121	1.34289	33.5	35.7
chr22	1	50818468	655523	28379627	55.8451	1.28478	33.5	35.9
chr2	1	242193529	3406147	173539931	71.6534	1.40189	33.5	36.5
chr3	1	198295559	2787492	143280227	72.2559	1.4014	33.5	36.6
chr4	1	190214555	2636348	135953388	71.4737	1.38219	33.5	36.5
chr5	1	181538259	2536080	129256645	71.2008	1.39272	33.5	36.5
chr6	1	170805979	2400448	123175768	72.1144	1.40084	33.5	36.5
chr7	1	159345973	2267504	113694282	71.3506	1.41839	33.5	36.4
chr8	1	145138636	2096334	105321953	72.5664	1.43996	33.5	36.6
chr9	1	138394717	1701971	84417165	60.9974	1.22554	33.5	36.3
chrX	1	156040895	1058515	72613438	46.5349	0.676421	33.5	36.3
chrY	1	57227415	142461	8266497	14.445	0.248092	33.5	33.8
