#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	880931	60070527	44.8966	0.647537	33.5	36.4
chr11	1	135086622	854834	59079150	43.7343	0.622546	33.5	36.5
chr12	1	133275309	887478	60704293	45.548	0.654976	33.5	36.6
chr13	1	114364328	638598	43930837	38.4131	0.549274	33.5	36.6
chr14	1	107043718	601067	40991792	38.2944	0.552387	33.5	36.6
chr15	1	101991189	555626	37545194	36.8122	0.535874	33.5	36.4
chr16	1	90338345	558312	36340598	40.2272	0.608115	33.5	36
chr17	1	83257441	581672	38440261	46.1704	0.687143	33.5	36.4
chr18	1	80373285	517086	35155755	43.7406	0.633044	33.5	36.5
chr19	1	58617616	445248	28864176	49.2415	0.746321	33.5	36.5
chr1	1	248956422	1417411	97833648	39.2975	0.559912	33.5	36.4
chr20	1	64444167	443234	29578137	45.8973	0.676562	33.5	36.4
chr21	1	46709983	279008	17483944	37.4309	0.587897	33.5	35.8
chr22	1	50818468	279030	17861144	35.147	0.540108	33.5	35.9
chr2	1	242193529	1494340	104043175	42.9587	0.606838	33.5	36.5
chr3	1	198295559	1236950	86313174	43.5275	0.613645	33.5	36.6
chr4	1	190214555	1164480	81323361	42.7535	0.60209	33.5	36.5
chr5	1	181538259	1118164	77538754	42.7121	0.605755	33.5	36.5
chr6	1	170805979	1076691	74799634	43.7922	0.619987	33.5	36.6
chr7	1	159345973	981732	68210485	42.8065	0.605899	33.5	36.4
chr8	1	145138636	933591	64419336	44.3847	0.632733	33.5	36.6
chr9	1	138394717	751480	51545246	37.2451	0.534187	33.5	36.3
chrX	1	156040895	449296	36090595	23.1289	0.283259	33.5	36.4
chrY	1	57227415	60951	4260274	7.44446	0.104719	33.5	33.7
