#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	2394953	75947155	56.7628	0.890298	36	35.7
chr11	1	135086622	2349797	75344758	55.7751	0.865159	36	35.8
chr12	1	133275309	2350191	75498304	56.6484	0.877097	36	35.8
chr13	1	114364328	1815857	57370890	50.165	0.789953	36	36.1
chr14	1	107043718	1600561	51053389	47.694	0.743751	36	35.9
chr15	1	101991189	1394199	44713111	43.8402	0.679853	36	35.7
chr16	1	90338345	1336220	42676290	47.2405	0.73541	35.9	35.4
chr17	1	83257441	1262236	41494291	49.8385	0.753615	35.9	35.3
chr18	1	80373285	1420122	44770817	55.7036	0.879031	36	36.1
chr19	1	58617616	883575	29134337	49.7024	0.748938	35.9	34.9
chr1	1	248956422	3910200	125983264	50.6045	0.781167	36	35.7
chr20	1	64444167	1112783	35268851	54.7278	0.858687	35.9	35.5
chr21	1	46709983	686978	20461808	43.8061	0.731609	36	35
chr22	1	50818468	587510	18828998	37.0515	0.574662	35.9	34.8
chr2	1	242193529	4309802	137496800	56.7715	0.885195	36	35.9
chr3	1	198295559	3593014	114724871	57.8555	0.901411	36	35.9
chr4	1	190214555	3528763	111307687	58.5169	0.923038	36	35.9
chr5	1	181538259	3271155	103681668	57.1128	0.896456	36	35.9
chr6	1	170805979	3073830	98313582	57.5586	0.895241	36	35.9
chr7	1	159345973	2784419	88703936	55.6675	0.869176	36	35.7
chr8	1	145138636	2658115	84057257	57.9151	0.91106	36	36
chr9	1	138394717	1987723	63818930	46.1137	0.714378	36	35.7
chrX	1	156040895	1348795	52799161	33.8367	0.43002	36	35.6
chrY	1	57227415	165981	5568316	9.73015	0.144244	36	32
