#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	1516075	67288883	50.2916	0.728245	35.1	36
chr11	1	135086622	1521692	67818778	50.2039	0.724095	35.1	36.1
chr12	1	133275309	1543933	68549662	51.4346	0.745195	35.1	36.1
chr13	1	114364328	1104782	49365305	43.165	0.620477	35.1	36.3
chr14	1	107043718	1012058	45206495	42.2318	0.607951	35.1	36.2
chr15	1	101991189	902308	40360404	39.5724	0.569484	35.1	36
chr16	1	90338345	894366	38752500	42.8971	0.639318	35.1	35.5
chr17	1	83257441	886970	39602384	47.5662	0.685746	35.1	35.7
chr18	1	80373285	860507	38497232	47.898	0.688118	35.1	36.2
chr19	1	58617616	609015	27570219	47.034	0.668819	35.1	35.5
chr1	1	248956422	2631232	115938898	46.57	0.680313	35.1	36
chr20	1	64444167	721412	31831402	49.3938	0.718607	35.1	35.9
chr21	1	46709983	413922	17828695	38.1689	0.572006	35.1	35.4
chr22	1	50818468	400931	17715027	34.8594	0.508781	35.1	35.3
chr2	1	242193529	2789561	123525341	51.0027	0.740511	35.1	36.1
chr3	1	198295559	2326925	102908126	51.8963	0.754421	35.1	36.2
chr4	1	190214555	2202452	97589600	51.305	0.744832	35.1	36.1
chr5	1	181538259	2061576	91400749	50.3479	0.73005	35.1	36.2
chr6	1	170805979	1981950	88040160	51.544	0.746429	35.1	36.2
chr7	1	159345973	1770962	79034498	49.5993	0.715448	35.1	36
chr8	1	145138636	1657537	73742364	50.8082	0.733795	35.1	36.3
chr9	1	138394717	1305088	58108665	41.9876	0.607652	35.1	35.9
chrX	1	156040895	824030	43832723	28.0905	0.340314	35.1	35.9
chrY	1	57227415	100165	4597696	8.03408	0.112731	35.1	32.2
