#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	1373935	51646686	38.6007	0.522784	36.5	35.6
chr11	1	135086622	1355917	51666022	38.2466	0.511009	36.5	35.8
chr12	1	133275309	1348436	51532872	38.6665	0.515076	36.5	35.8
chr13	1	114364328	1059990	39744007	34.7521	0.471898	36.5	36.1
chr14	1	107043718	918670	34892448	32.5964	0.436938	36.5	35.8
chr15	1	101991189	804500	30691492	30.0923	0.401556	36.5	35.7
chr16	1	90338345	809963	30064023	33.2794	0.456405	36.5	35.2
chr17	1	83257441	788472	29935914	35.9558	0.482005	36.5	35.2
chr18	1	80373285	800609	30289349	37.6858	0.507131	36.5	36
chr19	1	58617616	606918	22626133	38.5995	0.526916	36.5	35
chr1	1	248956422	2200304	84140889	33.7974	0.449937	36.5	35.6
chr20	1	64444167	653232	24384087	37.8375	0.51598	36.5	35.4
chr21	1	46709983	413807	14541352	31.1311	0.451049	36.5	34.9
chr22	1	50818468	372363	13754953	27.0668	0.372941	36.5	34.7
chr2	1	242193529	2494223	94408322	38.9805	0.524317	36.5	35.9
chr3	1	198295559	2041892	77697696	39.1828	0.524278	36.5	35.9
chr4	1	190214555	2067433	77066477	40.5156	0.553415	36.5	35.8
chr5	1	181538259	1882949	70850217	39.0277	0.528088	36.5	35.9
chr6	1	170805979	1739198	66334784	38.8363	0.518416	36.5	35.9
chr7	1	159345973	1584534	60237645	37.8031	0.506247	36.5	35.6
chr8	1	145138636	1481454	56398564	38.8584	0.519662	36.5	36
chr9	1	138394717	1158197	44012878	31.8024	0.426055	36.5	35.6
chrX	1	156040895	760771	32753239	20.9902	0.248218	36.5	35.5
chrY	1	57227415	105808	3602893	6.29575	0.0941139	36.5	31.2
