#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	1853029	63838055	47.7125	0.705007	36.5	35.6
chr11	1	135086622	1811856	63365398	46.9072	0.682758	36.5	35.8
chr12	1	133275309	1787077	63111333	47.3541	0.682567	36.5	35.8
chr13	1	114364328	1492708	50200822	43.8955	0.664478	36.5	36.1
chr14	1	107043718	1245009	43205240	40.3622	0.592035	36.5	35.8
chr15	1	101991189	1054211	37245953	36.5188	0.526147	36.5	35.6
chr16	1	90338345	1058746	36363145	40.2522	0.596547	36.5	35.2
chr17	1	83257441	984033	35197625	42.2757	0.601541	36.5	35.2
chr18	1	80373285	1093082	37640405	46.832	0.692337	36.5	36
chr19	1	58617616	748271	26155307	44.6202	0.649606	36.4	34.9
chr1	1	248956422	2977250	104865831	42.1222	0.608734	36.5	35.6
chr20	1	64444167	841507	29236775	45.3676	0.664642	36.5	35.4
chr21	1	46709983	558872	17820698	38.1518	0.609073	36.5	34.9
chr22	1	50818468	452734	15696335	30.8871	0.453423	36.5	34.5
chr2	1	242193529	3373231	116683753	48.1779	0.709011	36.5	35.9
chr3	1	198295559	2769499	96348553	48.5884	0.710976	36.5	35.9
chr4	1	190214555	2850598	96232076	50.5913	0.76294	36.5	35.8
chr5	1	181538259	2581216	88414764	48.7031	0.723808	36.5	35.9
chr6	1	170805979	2390954	83155002	48.6839	0.712606	36.5	35.9
chr7	1	159345973	2186799	75572634	47.4268	0.698585	36.5	35.6
chr8	1	145138636	2053847	70977685	48.9034	0.720364	36.5	36
chr9	1	138394717	1549858	54087732	39.0822	0.570055	36.5	35.6
chrX	1	156040895	1098493	44556865	28.5546	0.358359	36.5	35.5
chrY	1	57227415	143308	4806020	8.39811	0.127464	36.5	31.5
