#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	2456165	71075879	53.122	0.935242	36.7	36.1
chr11	1	135086622	2552309	72058066	53.3421	0.962579	36.7	36.2
chr12	1	133275309	2472325	71698765	53.7975	0.945057	36.7	36.2
chr13	1	114364328	1493231	47299790	41.3589	0.665266	36.7	36.3
chr14	1	107043718	1582033	46559924	43.4962	0.75295	36.7	36.2
chr15	1	101991189	1534544	43456929	42.6085	0.766538	36.7	36.1
chr16	1	90338345	1534879	42374970	46.907	0.865488	36.7	35.8
chr17	1	83257441	1727485	45056658	54.1173	1.05691	36.7	35.9
chr18	1	80373285	1235805	38338266	47.7003	0.783384	36.7	36.3
chr19	1	58617616	1226960	31329612	53.4474	1.06594	36.7	35.7
chr1	1	248956422	4563138	125824488	50.5408	0.933788	36.7	36.1
chr20	1	64444167	1234125	34911697	54.1736	0.975602	36.7	36.1
chr21	1	46709983	592128	17571548	37.6184	0.645823	36.7	35.6
chr22	1	50818468	759374	20174694	39.6995	0.761178	36.7	35.7
chr2	1	242193529	4358982	127766121	52.7537	0.916958	36.7	36.2
chr3	1	198295559	3586550	105759960	53.3345	0.92152	36.7	36.2
chr4	1	190214555	3009115	94217140	49.532	0.806028	36.7	36.1
chr5	1	181538259	3109281	92486101	50.9458	0.872633	36.7	36.2
chr6	1	170805979	3055510	90055571	52.7239	0.911426	36.7	36.2
chr7	1	159345973	2711120	80827569	50.7246	0.86682	36.7	36
chr8	1	145138636	2521113	75469555	51.9983	0.885022	36.7	36.3
chr9	1	138394717	2141532	61082759	44.1366	0.788343	36.7	36.1
chrX	1	156040895	1143149	43769126	28.0498	0.373241	36.7	35.9
chrY	1	57227415	111380	4012686	7.01182	0.0991689	36.7	32.5
