#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	2393543	106650831	79.7107	1.76826	33.5	36.5
chr11	1	135086622	2397616	107161988	79.3283	1.75431	33.5	36.5
chr12	1	133275309	2398754	107221694	80.4513	1.77839	33.5	36.6
chr13	1	114364328	1692961	77476088	67.745	1.46425	33.5	36.6
chr14	1	107043718	1596830	71610325	66.8982	1.47457	33.5	36.6
chr15	1	101991189	1457544	64437079	63.1791	1.41156	33.5	36.4
chr16	1	90338345	1447928	62644059	69.3438	1.58345	33.5	36.2
chr17	1	83257441	1456173	63913257	76.7658	1.72528	33.5	36.4
chr18	1	80373285	1346227	60882638	75.7498	1.65685	33.5	36.6
chr19	1	58617616	1027608	45404659	77.4591	1.72924	33.5	36.5
chr1	1	248956422	4124124	182120390	73.1535	1.63621	33.5	36.4
chr20	1	64444167	1170855	50828087	78.8715	1.79511	33.5	36.4
chr21	1	46709983	676121	28275963	60.5352	1.43196	33.5	35.8
chr22	1	50818468	675933	28890605	56.8506	1.31325	33.5	35.9
chr2	1	242193529	4303736	192805831	79.6082	1.75641	33.5	36.5
chr3	1	198295559	3574793	160215986	80.7966	1.78219	33.5	36.6
chr4	1	190214555	3347544	151879967	79.8467	1.74111	33.5	36.5
chr5	1	181538259	3185611	143129215	78.8425	1.73523	33.5	36.5
chr6	1	170805979	3050078	137376646	80.4285	1.76509	33.5	36.6
chr7	1	159345973	2780124	125034440	78.4673	1.7252	33.5	36.4
chr8	1	145138636	2583981	115802792	79.7877	1.76049	33.5	36.6
chr9	1	138394717	2049533	91738298	66.2874	1.46347	33.5	36.3
chrX	1	156040895	1290653	82860337	53.1017	0.818507	33.5	36.4
chrY	1	57227415	147610	8623189	15.0683	0.255402	33.5	34
