#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	1134370	69711923	52.1026	0.835101	33.5	36.4
chr11	1	135086622	1106246	69064541	51.1261	0.806969	33.5	36.5
chr12	1	133275309	1081864	67947959	50.9832	0.799623	33.5	36.5
chr13	1	114364328	762614	48558589	42.4596	0.65769	33.5	36.6
chr14	1	107043718	745019	46359594	43.309	0.685865	33.5	36.5
chr15	1	101991189	682217	41964752	41.1455	0.658703	33.5	36.3
chr16	1	90338345	757022	43878221	48.571	0.825112	33.5	36.1
chr17	1	83257441	745240	44288558	53.1947	0.880625	33.5	36.3
chr18	1	80373285	612881	38588173	48.0112	0.751644	33.5	36.5
chr19	1	58617616	601117	34192322	58.3311	1.00805	33.5	36.5
chr1	1	248956422	1869029	116084280	46.6284	0.739577	33.5	36.4
chr20	1	64444167	580726	34589200	53.6731	0.887067	33.5	36.4
chr21	1	46709983	336844	18932488	40.532	0.710773	33.5	35.6
chr22	1	50818468	375159	21139820	41.5987	0.726175	33.5	35.9
chr2	1	242193529	1928014	121531165	50.1794	0.784617	33.5	36.4
chr3	1	198295559	1559775	99505032	50.1802	0.775322	33.5	36.5
chr4	1	190214555	1465489	93593654	49.2043	0.760136	33.5	36.4
chr5	1	181538259	1419483	89886007	49.5135	0.77084	33.5	36.5
chr6	1	170805979	1332802	85102768	49.8242	0.769088	33.5	36.5
chr7	1	159345973	1294767	80489256	50.5123	0.800794	33.5	36.4
chr8	1	145138636	1168980	73424068	50.5889	0.793782	33.5	36.5
chr9	1	138394717	951788	59240752	42.8056	0.677612	33.5	36.3
chrX	1	156040895	592505	45024679	28.8544	0.374565	33.5	36.3
chrY	1	57227415	76139	5058781	8.83979	0.131124	33.5	33.8
