#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	1864609	65610386	49.0371	0.709898	36.7	35.9
chr11	1	135086622	1876165	66167954	48.9819	0.707519	36.7	36
chr12	1	133275309	1878337	66304712	49.7502	0.717963	36.7	36
chr13	1	114364328	1366260	48483259	42.3937	0.60862	36.7	36.2
chr14	1	107043718	1234198	43874954	40.9879	0.587364	36.7	36.1
chr15	1	101991189	1058018	37973677	37.2323	0.528438	36.7	35.9
chr16	1	90338345	1036951	36647878	40.5674	0.584672	36.7	35.5
chr17	1	83257441	970123	35451398	42.5805	0.593473	36.6	35.6
chr18	1	80373285	1050373	37410131	46.5455	0.665793	36.7	36.2
chr19	1	58617616	627843	23596685	40.2553	0.545427	36.6	35.2
chr1	1	248956422	3296045	114186321	45.866	0.674439	36.7	35.9
chr20	1	64444167	841269	29906563	46.4069	0.664952	36.7	35.7
chr21	1	46709983	463204	16310449	34.9186	0.505173	36.7	35.2
chr22	1	50818468	412923	15165100	29.8417	0.413808	36.7	35
chr2	1	242193529	3531654	122770887	50.6912	0.74285	36.7	36.1
chr3	1	198295559	2957706	102684622	51.7836	0.75987	36.7	36.1
chr4	1	190214555	2816333	97735796	51.3819	0.754311	36.7	36
chr5	1	181538259	2619785	91061734	50.1612	0.735195	36.7	36.1
chr6	1	170805979	2486982	87060404	50.9703	0.741763	36.7	36.1
chr7	1	159345973	2228447	78080841	49.0008	0.712417	36.7	35.9
chr8	1	145138636	2074774	72871384	50.2081	0.728246	36.7	36.2
chr9	1	138394717	1592090	56133239	40.5602	0.58603	36.7	35.8
chrX	1	156040895	1062161	44178817	28.3123	0.346767	36.7	35.8
chrY	1	57227415	116438	4238463	7.40635	0.103656	36.7	32.1
