#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	2350945	73964364	55.2809	0.873909	36	35.8
chr11	1	135086622	2284978	72858865	53.9349	0.841312	36	35.8
chr12	1	133275309	2256800	72668672	54.5252	0.842232	36	35.9
chr13	1	114364328	1869674	57483733	50.2637	0.813355	36	36.1
chr14	1	107043718	1562763	49448772	46.1949	0.726117	36	35.9
chr15	1	101991189	1327556	42860387	42.0236	0.647308	36	35.7
chr16	1	90338345	1282420	40723029	45.0783	0.705712	36	35.4
chr17	1	83257441	1153825	38588433	46.3483	0.688757	35.9	35.3
chr18	1	80373285	1438641	44498925	55.3653	0.890448	36	36.1
chr19	1	58617616	792663	26483496	45.1801	0.671709	35.9	34.9
chr1	1	248956422	3669854	119552087	48.0213	0.733082	36	35.8
chr20	1	64444167	1042570	33335331	51.7275	0.804393	36	35.5
chr21	1	46709983	695833	20283383	43.4241	0.741076	36	35
chr22	1	50818468	539052	17376199	34.1927	0.527115	35.9	34.6
chr2	1	242193529	4246264	134327911	55.463	0.872103	36	36
chr3	1	198295559	3530167	111942715	56.4525	0.88563	36	36
chr4	1	190214555	3591202	110853862	58.2783	0.939388	36	35.9
chr5	1	181538259	3259559	101971182	56.1706	0.89322	36	36
chr6	1	170805979	3027561	96171772	56.3047	0.881749	36	36
chr7	1	159345973	2751295	86746443	54.4391	0.8588	36	35.7
chr8	1	145138636	2620099	82295069	56.701	0.89794	36	36.1
chr9	1	138394717	1930340	61722345	44.5988	0.693678	36	35.7
chrX	1	156040895	1384528	53218715	34.1056	0.441427	36	35.6
chrY	1	57227415	176895	5811738	10.1555	0.153747	36	32
