#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	816512	54401863	40.6599	0.612739	33.5	36.5
chr11	1	135086622	801738	54111545	40.0569	0.595999	33.5	36.6
chr12	1	133275309	760645	51975373	38.9985	0.573041	33.5	36.6
chr13	1	114364328	530817	36626797	32.0264	0.466113	33.5	36.7
chr14	1	107043718	490749	33765931	31.5441	0.460278	33.5	36.6
chr15	1	101991189	451170	30732347	30.1324	0.444135	33.5	36.4
chr16	1	90338345	503395	32351876	35.8119	0.559242	33.6	36.1
chr17	1	83257441	517620	34039032	40.8841	0.623772	33.5	36.4
chr18	1	80373285	417752	28763464	35.7873	0.521939	33.5	36.6
chr19	1	58617616	405393	26098581	44.5234	0.693453	33.5	36.6
chr1	1	248956422	1234103	84623370	33.9912	0.497619	33.5	36.4
chr20	1	64444167	383190	25391278	39.4004	0.59674	33.5	36.4
chr21	1	46709983	280496	16508896	35.3434	0.602907	33.5	35.7
chr22	1	50818468	268704	16730941	32.923	0.530642	33.6	36
chr2	1	242193529	1313744	90386182	37.3198	0.54469	33.5	36.5
chr3	1	198295559	1082566	74768217	37.7054	0.548302	33.5	36.6
chr4	1	190214555	1081822	73525811	38.6541	0.57132	33.5	36.5
chr5	1	181538259	860518	60734635	33.4556	0.475943	33.5	36.6
chr6	1	170805979	956885	65749238	38.4935	0.562629	33.5	36.6
chr7	1	159345973	798908	55694692	34.9521	0.503274	33.5	36.5
chr8	1	145138636	797019	54775189	37.7399	0.551443	33.5	36.6
chr9	1	138394717	592134	41312833	29.8515	0.429537	33.5	36.4
chrX	1	156040895	425037	32854976	21.0554	0.273524	33.5	36.4
chrY	1	57227415	55079	3624093	6.33279	0.0965032	33.5	33.6
