#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	2154118	69423573	51.8871	0.800782	36	35.7
chr11	1	135086622	2069903	67868848	50.241	0.762229	36	35.7
chr12	1	133275309	2010641	66948768	50.2334	0.7504	36	35.7
chr13	1	114364328	1682072	53259792	46.5703	0.731763	36	36
chr14	1	107043718	1438891	46481694	43.4231	0.668664	36	35.8
chr15	1	101991189	1218796	40095455	39.3127	0.594304	35.9	35.6
chr16	1	90338345	1216875	39023624	43.1972	0.669825	35.9	35.4
chr17	1	83257441	1051303	35921808	43.1455	0.627717	35.9	35.2
chr18	1	80373285	1310909	41615820	51.7782	0.811398	36	36
chr19	1	58617616	789002	26145460	44.6034	0.668981	35.9	34.9
chr1	1	248956422	3254889	109869416	44.132	0.650272	35.9	35.7
chr20	1	64444167	970295	31569389	48.9872	0.748747	35.9	35.4
chr21	1	46709983	683487	19416167	41.5675	0.728021	36	34.7
chr22	1	50818468	519818	16755447	32.9712	0.508578	35.9	34.5
chr2	1	242193529	3767916	123484237	50.9858	0.773916	36	35.9
chr3	1	198295559	3109290	102515575	51.6984	0.780095	36	35.9
chr4	1	190214555	3176501	101558892	53.3918	0.830899	36	35.8
chr5	1	181538259	2919252	94334077	51.9637	0.800011	36	35.8
chr6	1	170805979	2658055	87826453	51.4188	0.774177	36	35.8
chr7	1	159345973	2500549	80852828	50.7404	0.780599	36	35.6
chr8	1	145138636	2381111	76647749	52.81	0.816139	36	35.9
chr9	1	138394717	1738046	57341966	41.4336	0.624671	36	35.6
chrX	1	156040895	1280809	49850989	31.9474	0.408356	36	35.5
chrY	1	57227415	174734	5575547	9.74279	0.151857	36	31.7
