#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	2094785	66960156	50.0459	0.778894	36	35.8
chr11	1	135086622	2033448	65553719	48.5272	0.74897	36	35.8
chr12	1	133275309	1960923	65109658	48.8535	0.732028	36	35.9
chr13	1	114364328	1854420	55197713	48.2648	0.806943	36	36.2
chr14	1	107043718	1433146	45234140	42.2576	0.666116	36	35.9
chr15	1	101991189	1150777	38205800	37.4599	0.561258	36	35.7
chr16	1	90338345	1098896	35748687	39.572	0.604946	36	35.4
chr17	1	83257441	940783	32693576	39.2681	0.561846	35.9	35.3
chr18	1	80373285	1354439	41683812	51.8628	0.8386	36	36.1
chr19	1	58617616	658302	22569433	38.5028	0.558192	35.9	34.9
chr1	1	248956422	3116464	105041630	42.1928	0.622748	36	35.8
chr20	1	64444167	853836	28547156	44.2975	0.659041	36	35.4
chr21	1	46709983	688342	19199297	41.1032	0.733304	36	35
chr22	1	50818468	435659	14532344	28.5966	0.426279	35.9	34.4
chr2	1	242193529	3834975	122930677	50.7572	0.787869	36	36
chr3	1	198295559	3172087	102227167	51.5529	0.795989	36	36
chr4	1	190214555	3445348	104930201	55.1641	0.90143	36	36
chr5	1	181538259	3018684	94570530	52.094	0.827491	36	36
chr6	1	170805979	2748838	88281682	51.6854	0.800808	36	36
chr7	1	159345973	2490719	79540575	49.9169	0.777696	36	35.7
chr8	1	145138636	2373013	75504240	52.0222	0.81351	36	36.1
chr9	1	138394717	1715251	55673434	40.228	0.616621	36	35.7
chrX	1	156040895	1311870	50122079	32.1211	0.418358	36	35.6
chrY	1	57227415	171878	5620203	9.82082	0.149425	36	31.7
