#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	1761921	77886028	58.2119	0.923498	34.7	36.1
chr11	1	135086622	1729833	77413056	57.3062	0.897886	34.7	36.1
chr12	1	133275309	1711561	76906330	57.7049	0.900465	34.7	36.2
chr13	1	114364328	1230120	55642350	48.6536	0.753309	34.7	36.3
chr14	1	107043718	1167858	52108293	48.6794	0.76498	34.7	36.2
chr15	1	101991189	1074842	47408049	46.4825	0.739411	34.7	36
chr16	1	90338345	1100526	46710546	51.7062	0.857933	34.6	35.6
chr17	1	83257441	1095336	47607942	57.1816	0.923483	34.6	35.8
chr18	1	80373285	993610	44369750	55.2046	0.866086	34.7	36.2
chr19	1	58617616	811311	34827757	59.4152	0.973268	34.6	35.7
chr1	1	248956422	2901074	129846035	52.1561	0.817792	34.7	36
chr20	1	64444167	881801	37949842	58.8879	0.959378	34.7	36
chr21	1	46709983	510778	21227328	45.4449	0.770775	34.6	35.4
chr22	1	50818468	536907	22339467	43.9593	0.744971	34.6	35.4
chr2	1	242193529	3059483	137700854	56.8557	0.885537	34.7	36.2
chr3	1	198295559	2514044	113752335	57.365	0.888488	34.7	36.2
chr4	1	190214555	2346112	106803430	56.1489	0.864948	34.7	36.1
chr5	1	181538259	2262338	102092035	56.2372	0.873329	34.7	36.2
chr6	1	170805979	2159306	97801334	57.2587	0.886399	34.7	36.2
chr7	1	159345973	1984792	89482872	56.1563	0.874258	34.7	36
chr8	1	145138636	1849951	83132640	57.2781	0.893315	34.7	36.3
chr9	1	138394717	1489654	66489378	48.0433	0.756363	34.7	35.9
chrX	1	156040895	930948	51671923	33.1143	0.419189	34.6	35.9
chrY	1	57227415	121980	5701567	9.963	0.14969	34.7	32.4
