#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	1919898	77307459	57.7795	0.993933	34.7	35.9
chr11	1	135086622	1947781	77641682	57.4755	0.99904	34.7	36
chr12	1	133275309	1910877	77341085	58.0311	0.9941	34.7	35.9
chr13	1	114364328	1147555	50205443	43.8996	0.694484	34.7	36.1
chr14	1	107043718	1234787	50487171	47.165	0.799331	34.7	36
chr15	1	101991189	1193970	47567671	46.639	0.812392	34.7	35.9
chr16	1	90338345	1307475	48524026	53.7137	1.00577	34.7	35.5
chr17	1	83257441	1422055	51648058	62.0342	1.18653	34.7	35.7
chr18	1	80373285	957230	41068169	51.0968	0.824716	34.7	36.1
chr19	1	58617616	1092671	38175470	65.1263	1.295	34.7	35.6
chr1	1	248956422	3474779	135738947	54.5232	0.968502	34.7	35.8
chr20	1	64444167	1008550	38937695	60.4208	1.0834	34.7	35.9
chr21	1	46709983	479266	19247722	41.2069	0.713732	34.7	35.4
chr22	1	50818468	661515	23756229	46.7472	0.905303	34.7	35.5
chr2	1	242193529	3308855	136132467	56.2081	0.946449	34.7	36
chr3	1	198295559	2685385	111682265	56.3211	0.93843	34.7	36
chr4	1	190214555	2259561	98876842	51.9817	0.823368	34.7	35.9
chr5	1	181538259	2325732	97822244	53.8852	0.887185	34.7	36
chr6	1	170805979	2275523	95212439	55.743	0.923034	34.7	36
chr7	1	159345973	2124319	87823649	55.1151	0.925069	34.7	35.8
chr8	1	145138636	1914605	80141168	55.217	0.913059	34.7	36.1
chr9	1	138394717	1662966	66526390	48.07	0.833846	34.7	35.8
chrX	1	156040895	901611	48221288	30.903	0.401504	34.7	35.7
chrY	1	57227415	99884	4763154	8.3232	0.120814	34.7	32.4
