#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	1113868	71455271	53.4056	0.812899	33.5	36.4
chr11	1	135086622	1099086	71237455	52.7346	0.794838	33.5	36.5
chr12	1	133275309	1105553	71619589	53.7381	0.81048	33.5	36.6
chr13	1	114364328	832094	53359781	46.6577	0.711315	33.5	36.6
chr14	1	107043718	747123	48193985	45.0227	0.681893	33.5	36.5
chr15	1	101991189	656959	42611172	41.7793	0.629116	33.5	36.4
chr16	1	90338345	652315	40939791	45.3183	0.704784	33.5	36
chr17	1	83257441	621943	40781750	48.9827	0.728902	33.5	36.3
chr18	1	80373285	647294	41524170	51.6641	0.786791	33.5	36.5
chr19	1	58617616	444545	29110682	49.662	0.738167	33.5	36.5
chr1	1	248956422	1861896	119856327	48.1435	0.730832	33.5	36.4
chr20	1	64444167	515497	33099563	51.3616	0.780607	33.5	36.4
chr21	1	46709983	327004	19590288	41.9403	0.684122	33.5	35.8
chr22	1	50818468	287855	18307829	36.0259	0.552566	33.5	35.8
chr2	1	242193529	2013030	129651130	53.532	0.812239	33.5	36.5
chr3	1	198295559	1674214	107960403	54.4442	0.82517	33.5	36.6
chr4	1	190214555	1637759	104479705	54.9273	0.841772	33.5	36.5
chr5	1	181538259	1521552	97301797	53.5985	0.819175	33.5	36.5
chr6	1	170805979	1437923	92760955	54.3078	0.822908	33.5	36.6
chr7	1	159345973	1305026	84226891	52.8579	0.800171	33.5	36.4
chr8	1	145138636	1211021	78016482	53.7531	0.815203	33.5	36.6
chr9	1	138394717	951039	61340471	44.3228	0.671458	33.5	36.2
chrX	1	156040895	635237	48964360	31.3792	0.397834	33.5	36.3
chrY	1	57227415	81144	5493611	9.59961	0.138314	33.5	33.6
