#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	2431581	101954379	76.2006	1.81749	33.5	36.5
chr11	1	135086622	2452429	102412142	75.8122	1.81539	33.5	36.5
chr12	1	133275309	2369165	101202048	75.9346	1.77741	33.5	36.6
chr13	1	114364328	1489984	69392128	60.6764	1.30382	33.5	36.6
chr14	1	107043718	1569835	67281123	62.8539	1.46661	33.5	36.6
chr15	1	101991189	1488040	61856346	60.6487	1.45865	33.5	36.4
chr16	1	90338345	1625299	62664768	69.3667	1.79782	33.5	36.2
chr17	1	83257441	1688378	64257725	77.1796	2.02465	33.5	36.4
chr18	1	80373285	1244712	55955586	69.6196	1.54959	33.5	36.6
chr19	1	58617616	1270697	46941072	80.0801	2.1623	33.5	36.5
chr1	1	248956422	4306625	175282497	70.4069	1.7293	33.5	36.4
chr20	1	64444167	1275058	50380231	78.1766	1.9777	33.5	36.5
chr21	1	46709983	633003	26082166	55.8385	1.35545	33.5	35.8
chr22	1	50818468	802157	29580852	58.2089	1.57629	33.5	36.1
chr2	1	242193529	4198329	180922857	74.7018	1.73393	33.5	36.5
chr3	1	198295559	3420889	149266339	75.2747	1.7258	33.5	36.6
chr4	1	190214555	2958265	136616430	71.8223	1.55652	33.5	36.5
chr5	1	181538259	3001027	132503928	72.9895	1.65397	33.5	36.5
chr6	1	170805979	2892769	127421637	74.6002	1.69415	33.5	36.6
chr7	1	159345973	2722850	117523148	73.7534	1.70891	33.5	36.4
chr8	1	145138636	2470558	108055939	74.4502	1.70298	33.5	36.6
chr9	1	138394717	2067804	87331314	63.1031	1.49401	33.5	36.4
chrX	1	156040895	1199113	76123715	48.7845	0.768974	33.5	36.3
chrY	1	57227415	131828	7754899	13.551	0.230473	33.5	34
