#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	1093148	69152714	51.6846	0.816279	33.5	36.5
chr11	1	135086622	1092947	69577856	51.5061	0.808504	33.5	36.6
chr12	1	133275309	1024588	66606520	49.9766	0.76817	33.5	36.6
chr13	1	114364328	688050	46073213	40.2863	0.60145	33.5	36.6
chr14	1	107043718	684917	44501416	41.5731	0.639335	33.5	36.6
chr15	1	101991189	632573	40739636	39.9443	0.619521	33.5	36.4
chr16	1	90338345	716547	43165657	47.7822	0.791928	33.5	36.1
chr17	1	83257441	682567	42592451	51.1575	0.817854	33.5	36.4
chr18	1	80373285	564389	37180542	46.2598	0.701861	33.5	36.5
chr19	1	58617616	511472	31606354	53.9195	0.869139	33.5	36.5
chr1	1	248956422	1884085	118307525	47.5214	0.756259	33.5	36.4
chr20	1	64444167	548834	34054200	52.843	0.850542	33.5	36.5
chr21	1	46709983	276846	17235094	36.8981	0.592079	33.5	35.8
chr22	1	50818468	340447	20337940	40.0208	0.668216	33.6	36
chr2	1	242193529	1916116	122931176	50.7574	0.790833	33.5	36.5
chr3	1	198295559	1544113	100288965	50.5755	0.778639	33.5	36.6
chr4	1	190214555	1404676	92439036	48.5972	0.738561	33.5	36.5
chr5	1	181538259	1374507	89210869	49.1416	0.75689	33.5	36.5
chr6	1	170805979	1284941	84365389	49.3925	0.752004	33.5	36.6
chr7	1	159345973	1254960	80049676	50.2364	0.78705	33.5	36.4
chr8	1	145138636	1123686	72760787	50.1319	0.773784	33.5	36.6
chr9	1	138394717	928565	59229945	42.7978	0.670489	33.5	36.3
chrX	1	156040895	591692	46025804	29.496	0.379167	33.5	36.4
chrY	1	57227415	70748	4827262	8.43523	0.123449	33.5	33.8
