#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	3035696	87271654	65.2267	1.12836	36	35.8
chr11	1	135086622	3052401	87850945	65.033	1.1238	36	35.8
chr12	1	133275309	3082783	88422228	66.3455	1.15041	36	35.8
chr13	1	114364328	2217878	64381659	56.2952	0.964787	36	36.1
chr14	1	107043718	2042378	58896551	55.021	0.948911	36	35.9
chr15	1	101991189	1825691	52390957	51.3681	0.890142	36	35.7
chr16	1	90338345	1751416	50323307	55.7054	0.963742	35.9	35.4
chr17	1	83257441	1773035	51037856	61.3013	1.05834	35.9	35.3
chr18	1	80373285	1740463	50338552	62.631	1.0772	36	36.1
chr19	1	58617616	1218952	35654251	60.8251	1.03293	35.9	34.9
chr1	1	248956422	5214606	149057714	59.873	1.04165	36	35.8
chr20	1	64444167	1470976	41629676	64.5981	1.13487	36	35.6
chr21	1	46709983	821313	22864285	48.9495	0.874561	36	35.1
chr22	1	50818468	796752	22763146	44.7931	0.779154	35.9	34.9
chr2	1	242193529	5535888	159012331	65.6551	1.13692	36	35.9
chr3	1	198295559	4642374	132961102	67.052	1.16457	36	35.9
chr4	1	190214555	4383483	126078463	66.2822	1.14655	36	35.9
chr5	1	181538259	4119077	118384635	65.2119	1.12868	36	35.9
chr6	1	170805979	3959561	113782684	66.6152	1.1531	36	35.9
chr7	1	159345973	3536956	102009954	64.0179	1.10398	36	35.7
chr8	1	145138636	3338670	95899159	66.0742	1.14423	36	36
chr9	1	138394717	2593410	74624218	53.9213	0.932002	36	35.7
chrX	1	156040895	1672142	62235660	39.8842	0.533072	36	35.6
chrY	1	57227415	187418	6240852	10.9054	0.162892	36	32.4
